"UNLOCODE","NOMLOCALITAT","ISOPAIS","NOMPAIS","AREGEOGRAFICA","NOMAREAGEOGRAFICA"
"ARTUC","Tucuman","AR","Argentina","18","South America (Atlantic)"
"ARTUN","Tunuyan                            ","AR","Argentina","18","South America (Atlantic)"
"ARULA","San Julian","AR","Argentina","18","South America (Atlantic)"
"ARUSH","Ushuaia","AR","Argentina","18","South America (Atlantic)"
"ARVCN","Villa Constitucion","AR","Argentina","18","South America (Atlantic)"
"ARVHE","Villa Hernandarias                 ","AR","Argentina","18","South America (Atlantic)"
"ARVLO","Vicente Lopez                      ","AR","Argentina","18","South America (Atlantic)"
"ARXPD","San Pedro","AR","Argentina","18","South America (Atlantic)"
"ARZAE","Zarate","AR","Argentina","18","South America (Atlantic)"
"ASACC","Yucca                              ","AS","American SamonaA","09","Australia, New Zealand/Pacific Islands"
"ASPPG","Pago Pago","AS","American SamonaA","09","Australia, New Zealand/Pacific Islands"
"ATBFS","Bischofshofen                      ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATBOE","Bohlerwenk                         ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATDRA","Drasenhofen                        ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATDRO","Dross                              ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATDUE","Durnstein                          ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATDWA","Deutsch Wagram                     ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATEBR","Ebreichsdorf                       ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATEPD","Erpersdorf                         ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATERL","Erl                                ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATFG7","Achau                              ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATFHR","Fehring                            ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATFNA","Freudenau                          ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATFPS","Fulpmes                            ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATFSU","Faistenau                          ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATGDN","Gmunden                            ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATGF2","Schnifis                           ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATGRN","Grein                              ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATGSN","Gutenstein                         ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATKAM","Kammern im Liesingtal              ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATKFD","Knittelfeld                        ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATKMB","Krummnussbaum                      ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATKTT","Kematen in Tirol                   ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATLKN","Falkenstein                        ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATLZD","Langenzersdorf                     ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATMAB","Marbach an der Donau               ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATNFN","Neufelden                          ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATNUZ","Nuziders                           ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATOBU","Oberneukirchen                     ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATPAS","Podersdorf am See                  ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
"ATRAD","Radstadt                           ","AT","Austria","ZZ","Unknown area (Tare of empty containers)"
