_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
1547,CELTIC AMBASSADOR,9312705,General Cargo Ship,MIPT9,232033027,GB,GBCDF,13,"6,14","106,15","14,4",
1548,CELTIC CHALLENGER,9514913,General Cargo Ship,V2RA2,305271000,AG,"",13,"6,22","89,95","14,4",
1549,CELTIC COMMANDER,9312729,General Cargo Ship,MIPT8,232033026,GB,GBCDF,13,"6,14","106,12","14,4",
1550,CELTIC CRUSADER,9521370,General Cargo Ship,V2QY4,304872000,AG,AGSJO,13,"6,15","101,15","14,4",
1551,CELTIC FORESTER,9256171,General Cargo Ship,MEWG2,232020953,GB,GBCDF,13,"5,1","89,98","15,2",
1552,CELTIC FORTUNE,9353711,General Cargo Ship,MIMX2,232032365,GB,GBCDF,13,"6,18","89,99",14,
1553,CELTIC FREEDOM,9250414,General Cargo Ship,MCEF7,232012356,GB,GBCDF,13,"6,31","89,95","14,4",
1554,CELTIC PIONEER,9312717,General Cargo Ship,MIOM8,232032735,GB,GBCDF,13,"6,14","106,15","14,4",
1555,CELTIC RAIDER,9361330,General Cargo Ship,MIKS8,232031869,GB,GBCDF,13,"5,95","89,78",14,
1556,CELTIC VENTURE,9238399,General Cargo Ship,MACN5,232003353,GB,GBCDF,13,"6,1","89,99",14,
1557,CELTIC VOYAGER,9125671,General Cargo Ship,MDZU7,232018454,GB,GBCDF,13,"5,68","89,9","13,17",
1558,CEMBROOK,9731547,Cement Carrier,5BQE4,212690000,CY,CYLMS,13,"6,3","99,95","14,4",
1559,CEMENT COURIER,8118190,Cement Carrier,V2GS6,304073000,AG,AGSJO,12,"6,4","96,63","16,01",
1560,CEMENT SUPPLIER,7527849,Cement Carrier,V2HK4,305505000,AG,AGSJO,12,"6,53","113,04","15,61",
1561,CEMENT TRADER,7716763,Cement Carrier,V2GQ4,304048000,AG,AGSJO,12,"6,88","106,18","14,91",
1562,CEMESA B TRES,,"",GMP5,225023380,ES,"",94,"2,5","17,38","5,12",
1563,CEMESA CINCO,,"",A843,224366620,ES,"",94,"1,4","8,7","3,4",
1564,CEMESA DOS,,"",4971,224385480,ES,ESBCN,94,"1,8","8,7","3,4",
1565,CEMESA OCHO,,"",A846,224366640,ES,"",94,"1,4","8,7","3,4",
1566,CEMESA SEIS,,"",A844,224366630,ES,"",94,"1,4","8,7","3,4",
1567,CEMESA SIETE,,"",A845,224366360,ES,"",94,"1,4","8,7","3,4",
1568,CEMESA UNO,,"",4875,224385490,ES,ESBCN,94,"1,4","8,7","3,4",
1569,CEMSTAR,8903090,Cement Carrier,5BUP3,209962000,CY,CYLMS,12,5,"87,99","12,8",
1570,CENGIZ AMCA,9616096,General Cargo Ship,D5CU4,636015783,LR,LRMLW,13,"7,81","131,71","18,9",
1571,CENK G,9108556,Ro-Ro Cargo Ship,3EBC,256121000,MT,MTMLA,20,"6,5","175,08","24,44",2
1572,CENK S,9147887,General Cargo Ship,5LGH9,636021916,LR,LRMLW,12,"6,64","107,57","18,2",
1573,CENTAR,9251676,Chemical/Products Tanker,3E2695,352001672,PA,PAPTY,11,11,"184,9",28,
1574,CENTAURUS LEADER,9284740,Vehicles Carrier,9V2891,565503000,SG,SGSIN,21,"10,33","199,94","32,26",2
1575,CENTRAL,9383895,Chemical/Products Tanker,V7MR9,538007544,MH,MHMAJ,11,"12,91","183,06","32,2",
1576,CENTRAL PARK,9725823,Chemical/Products Tanker,D5IM4,636016933,LR,LRMLW,11,"9,74",145,"24,2",
1577,CEPAT,9047207,Cement Carrier,JZDX,525019633,ID,IDJKT,12,"7,63","109,54","18,8",
1578,CEPHEUS LEADER,9308883,Vehicles Carrier,7KFD,431323000,JP,"",20,"10,33","199,94","32,26",1
1579,CERHO,,"",EB3885,224233850,ES,"",22,"2,1","14,2","4,2",
1580,CERINTHUS,9596301,Container Ship (Fully Cellular),2FMT4,235092545,IM,IMCTN,17,"10,9","176,81","27,4",
1581,CERVANTES SAAVEDRA,1000655,"",ECEZ,,ES,"",22,"4,55",48,12,
1582,CETO,9305348,Products Tanker,3EOB6,353455000,PA,PAPTY,11,"12,12","179,8","32,2",
