_id,NOMVAIXELL,NUMLLOYDS,TIPUSVAIXELLLLOYDS,CALLSIGN,MMSI,PAISISO,PORTREGISTREISO,TIPVAIXELL,MAXCALAT,MAXESLORA,MAXMANIGA,NUMRAMPES
1720,CIELO DI NEW YORK,9669665,Chemical/Products Tanker,9HA3466,229631000,MT,MTMLA,11,"10,5","183,06","32,2",
1721,CIELO DI RABAT,9141792,Container Ship (Fully Cellular),CNA5005,242198100,MA,MATNG,17,"11,55","181,92","29,8",
1722,CIELO DI ULSAN,9717266,Chemical/Products Tanker,9HA4030,256902000,MT,MTMLA,11,"11,92","184,26","27,4",
1723,CILICIA,9171175,Chemical/Products Tanker,UENV,273436640,RU,"",14,"9,77","157,4","24,5",
1724,CIMIL,9487378,Chemical/Products Tanker,9HA2290,215909000,MT,MTMLA,11,"6,1","99,84","15,6",
1725,CINDY,9304734,Container Ship (Fully Cellular),D5TU9,636020455,LR,LRMLW,17,"11,42","211,85","29,8",
1726,CINZIA A,9226516,Container Ship (Fully Cellular),9HA5106,215421000,MT,MTMLA,17,"11,55","199,99","29,8",
1727,CIRCE,8836730,"Hopper, Motor",IZQL,,IT,ITPMO,22,3,"41,27","9,1",
1728,CIRTA,9845051,Container Ship (Fully Cellular),7THF,605086060,DZ,DZALG,17,"9,5","171,9","24,29",
1729,CISNE BRANCO,9203320,Sail Training Ship,PWCB,,BR,BRRIO,22,"4,19",76,"10,5",
1730,CITY ISLAND,9360960,Chemical/Products Tanker,V7MC8,538002835,MH,MHMAJ,11,"9,62","144,03","24,19",
1731,CITY OF MUMBAI,8507664,"",S6ES,563027000,SG,SGSIN,21,"8,1","157,51","27,03",3
1732,CITY OF NORDIC,8325468,"",9HXH8,256555000,MT,MTMLA,20,"6,46","107,91","18,55",1
1733,CITY OF OSLO,9407677,Vehicles Carrier,V7A5087,538009724,MH,MHMAJ,21,"6,4",140,"22,4",2
1734,CITY OF ROTTERDAM,9473468,Vehicles Carrier,3FUA7,,PA,PAPTY,21,"8,3","139,99","22,5",
1735,CITY OF ST. PETERSBURG,9473456,Vehicles Carrier,3FIM5,,PA,PAPTY,21,"6,5","139,99","22,5",
1736,CIUDAD AUTONOMA MELILLA,9216585,Passenger/Ro-Ro Ship (Vehicles),EBTO,224675000,ES,ESSCT,15,"6,2","172,6","26,2",2
1737,CIUDAD DE ALCUDIA,9010151,Passenger/Ro-Ro Ship (Vehicles),EANF,224509000,ES,ESSCT,15,"7,4",183,"28,7",2
1738,CIUDAD DE BARCELONA,9506289,Passenger/Ro-Ro Ship (Vehicles),EAIE,225416000,ES,ESSCT,15,"6,7","175,7","26,4",2
1739,CIUDAD DE GRANADA,9217125,Passenger/Ro-Ro Ship (Vehicles),EBRI,224600000,ES,ESSCT,15,"6,2",172,"26,2",2
1740,CIUDAD DE IBIZA,9263370,Passenger/Ro-Ro Ship (Vehicles),EAYW,224498000,ES,ESSCT,15,"6,2","159,7","23,7",3
1741,CIUDAD DE MAHON,9398890,Passenger/Ro-Ro Ship (Vehicles),ECNO,224692000,ES,ESSCT,15,"5,5","154,51","24,2",2
1742,CIUDAD DE PALMA,9349772,Passenger/Ro-Ro Ship (Vehicles),EAMS,224588000,ES,ESSCT,15,"6,71","186,4","25,6",1
1743,CIUTAT BADALONA,,"",KCB6,224323380,ES,"",23,2,"24,07","5,95",
1744,CIVARINA,9396440,General Cargo Ship,J8B5582,377602000,VC,VCKTN,13,"6,5","92,65",14,
1745,CK VENTURE,9592068,Bulk Carrier,9V9527,563146700,SG,SGSIN,12,"14,45","228,97","32,26",
1746,CKR CANGA,9560730,Bulk Carrier,YJXD3,577522000,VU,VUVLI,13,"7,24","134,5","18,8",
1747,CL ALICE,9691618,Bulk Carrier,VRSF8,477231900,HK,HKHKG,12,13,"199,9","32,24",
1748,CL DAISY,9684471,Bulk Carrier,VRSD5,477209200,HK,HKHKG,12,"13,03","199,9","32,24",
1749,CL GENEVA,9911587,Bulk Carrier,VRUD6,477716900,HK,HKHKG,12,"13,68","229,9",36,
1750,CL HEIDI,9720952,Bulk Carrier,VRSD3,477209800,HK,HKHKG,12,"13,3","199,9","32,26",
1751,CL HUAIYANG,9732929,Chemical/Products Tanker,V7A4483,538009231,MH,MHMAJ,11,"13,31",183,"32,2",
1752,CL SAPPHIRE,9274575,Bulk Carrier,V7IB3,538002349,MH,MHMAJ,12,"12,49","189,99","32,26",
1753,CL XUNYANG,9718088,Chemical/Products Tanker,V7A4484,538009232,MH,MHMAJ,11,"13,31",183,"32,2",
1754,CL ZHAOGE,9718090,Chemical/Products Tanker,V7A4471,538009222,MH,MHMAJ,11,"13,31",183,"32,2",
1755,CLAIRE A,9379387,Container Ship (Fully Cellular),TCRP2,271001092,TR,TRIZM,17,10,"184,01","24,5",
1756,CLARA,9304083,Bulk Carrier,ZGII,319155200,KY,"",12,"14,19",225,"32,26",
1757,CLARA CAMPOAMOR,9338022,Pollution Control Vessel,EAIK,224583000,ES,ESSCT,22,"6,6",80,18,
1758,CLARA K.,9373321,General Cargo Ship,PHJI,244424000,NL,NLDZL,13,"5,64","90,25","15,2",
1759,CLARICE,9674775,Chemical/Products Tanker,9V6273,563674000,SG,SGSIN,11,"10,51","156,53",25,
1760,CLARITY,9370305,General Cargo Ship,MMDV9,232043564,IM,IMPEL,13,"5,42","88,6","12,5",
1761,CLAVIGO,9014688,"",V2NQ,304010290,AG,AGSJO,13,"5,5","87,82","12,9",
1762,CLEAN ENERGY,9323687,LNG Tanker,V7LG8,538002742,MH,MHMAJ,14,"12,35","288,22","44,2",
1763,CLEAN HORIZON,9655444,LNG Tanker,9HA3808,256083000,MT,MTMLA,14,"12,5",289,"45,6",
1764,CLEAN OCEAN,9637492,LNG Tanker,V7CY7,538005350,MH,MHMAJ,14,"12,5",289,"45,6",
1765,CLEAN PLANET,9637507,LNG Tanker,V7CY8,538005351,MH,MHMAJ,14,"12,5",289,"45,6",
1766,CLEAR STARS,9868778,Crude/Oil Products Tanker,V7A2627,538008656,MH,MHMAJ,14,"15,02","249,9",44,
1767,CLEAROCEAN HICKORY,9916616,Chemical/Products Tanker,9V7209,563136900,SG,SGSIN,11,"13,24","183,06","32,2",
1768,CLEAROCEAN MAGIC,9849382,Chemical/Products Tanker,D5RX8,636018900,LR,LRMLW,11,"13,32","182,9","32,2",
1769,CLEAROCEAN MARIA,9655975,Chemical/Products Tanker,D5FZ8,636016402,LR,LRMLW,11,"13,2",183,"32,2",
1770,CLEAROCEAN MARVEL,9849291,Chemical/Products Tanker,D5RX7,636018899,LR,LRMLW,11,"13,32","182,9","32,2",
1771,CLEAROCEAN MERIBEL,9917646,Chemical/Products Tanker,DYDA,548624000,PH,PHMNL,11,"13,32","183,06","32,2",
1772,CLEAROCEAN MILANO,9917658,Chemical/Products Tanker,DYJN,548691000,PH,PHMNL,11,"13,32",183,"32,2",
1773,CLEAROCEAN MORITZ,9695834,Chemical/Products Tanker,D5HN7,636016739,LR,LRMLW,11,"13,32","183,06","32,2",
1774,CLEOPATRA,1002897,Yacht,ZHBP4,319213000,KY,"",23,"3,05","56,73","9,21",
1775,CLI PRIDE,9513646,General Cargo Ship,V2FI9,305689000,AG,AGSJO,13,7,"130,23","16,5",
1776,CLIFFORD MAERSK,9198575,Container Ship (Fully Cellular),OYRO2,219840000,DK,DKHAD,17,"14,94","346,98","42,8",
1777,CLIO,9159830,Passenger/Cruise,9HA4306,249596000,MT,MTMLA,16,3,"100,26","13,1",
1778,CLIO,9396660,Crude Oil Tanker,CQAD9,255806147,PT,PTFNC,14,"14,82",250,44,
1779,CLIPPER BELLE,9675781,Bulk Carrier,V7A5986,,MH,MHMAJ,12,13,"199,98","32,24",
1780,CLIPPER KATE,9721061,Bulk Carrier,V7A5947,538010366,MH,MHMAJ,12,"13,3","199,9","32,26",
1781,CLOTILDE,9448310,Chemical/Products Tanker,9HA5364,215910000,MT,MTMLA,11,"11,62","182,86","27,4",
1782,CLOUD 9,1012177,Yacht,ZGEC5,319068100,KY,"",23,"4,5","88,5","13,8",
1783,CLOVER ACE,9363950,Vehicles Carrier,D5JC8,636017062,LR,LRMLW,21,"9,73","199,99","32,26",2
1784,CLUB MED 2,9007491,Passenger/Cruise,FNIR,227194000,FR,"",16,"5,11",187,20,
1785,CMA CGM ABIDJAN,9323481,Container Ship (Fully Cellular),9HA5661,256022000,MT,MTMLA,17,"10,91","175,47","27,4",
1786,CMA CGM AGADIR,9265586,Container Ship (Fully Cellular),CNA5458,242888300,MA,MATNG,17,"8,52","147,87","23,25",
1787,CMA CGM ALASKA,9469572,Container Ship (Fully Cellular),9HA5189,215577000,MT,MTMLA,17,16,"366,04","48,2",
1788,CMA CGM ALGECIRAS,9238753,Container Ship (Fully Cellular),9HA5462,229235000,MT,MTMLA,17,"12,6","260,1","32,25",
1789,CMA CGM ALMAVIVA,9450648,Container Ship (Fully Cellular),FLSU,228339600,FR,FRMRS,17,15,334,"42,8",
1790,CMA CGM AMBARLI,9436422,Container Ship (Fully Cellular),9HA3788,256019000,MT,MTMLA,17,12,"230,93","32,2",
1791,CMA CGM AMBER,9350381,Container Ship (Fully Cellular),9HA4980,215148000,MT,MTMLA,17,"13,5","282,1","32,2",
1792,CMA CGM ANDROMEDA,9410727,Container Ship (Fully Cellular),9HA4989,215164000,MT,MTMLA,17,"15,5",363,"45,6",
1793,CMA CGM AQUILA,9410741,Container Ship (Fully Cellular),9HA5018,215217000,MT,MTMLA,17,"15,5",363,"45,6",
1794,CMA CGM ARCTIC,9867841,Container Ship (Fully Cellular),9HA5601,229778000,MT,MTMLA,17,16,366,51,
1795,CMA CGM ARISTOTE,9360154,Container Ship (Fully Cellular),9HA4981,215146000,MT,MTMLA,17,"9,36",170,"27,2",
1796,CMA CGM BALI,9867827,Container Ship (Fully Cellular),9HA5482,229393000,MT,MTMLA,17,16,"366,01",51,
1797,CMA CGM BEIRA,9302956,Container Ship (Fully Cellular),9HA2792,215891000,MT,MTMLA,17,"11,5",210,"30,1",
1798,CMA CGM BENJAMIN FRANKLIN,9706891,Container Ship (Fully Cellular),9HA5008,215195000,MT,MTMLA,17,16,"399,2",54,
1799,CMA CGM BLUE WHALE,9317963,Container Ship (Fully Cellular),9HA4994,215175000,MT,MTMLA,17,"13,5","294,12","32,2",
1800,CMA CGM BUTTERFLY,9365790,Container Ship (Fully Cellular),DFPI2,218843000,DE,DEHAM,17,15,"349,99","42,8",
1801,CMA CGM CALLAO,9395068,Container Ship (Fully Cellular),9HA5541,229633000,MT,MTMLA,17,"9,5","166,15",25,
1802,CMA CGM CALLISTO,9410753,Container Ship (Fully Cellular),9HA5006,215192000,MT,MTMLA,17,"15,5",363,"45,6",
1803,CMA CGM CASSIOPEIA,9410765,Container Ship (Fully Cellular),9HA5007,215196000,MT,MTMLA,17,"15,5",363,"45,6",
1804,CMA CGM CENDRILLON,9449819,Container Ship (Fully Cellular),9HA4971,215127000,MT,MTMLA,17,15,"334,04","42,8",
1805,CMA CGM CENTAURUS,9410777,Container Ship (Fully Cellular),9HA5020,215225000,MT,MTMLA,17,"15,5",363,"45,6",
1806,CMA CGM CHIWAN,9224312,Container Ship (Fully Cellular),C6FN9,311001150,BS,BSNAS,17,"12,63","259,8","32,25",
1807,CMA CGM COLUMBA,9410789,Container Ship (Fully Cellular),9HA5028,215249000,MT,MTMLA,17,"15,5",363,"45,6",
1808,CMA CGM CONSTANZA,9471202,Container Ship (Fully Cellular),9HA5745,256214000,MT,MTMLA,17,"12,6","261,09","32,25",
1809,CMA CGM CORAL,9350393,Container Ship (Fully Cellular),9HA4979,215141000,MT,MTMLA,17,"13,5","282,05","32,2",
1810,CMA CGM CORNEILLE,9409170,Container Ship (Fully Cellular),A8SU4,636017425,LR,LRMLW,17,"14,5","299,2",40,
1811,CMA CGM DALILA,9450624,Container Ship (Fully Cellular),FLSQ,228337900,FR,FRMRS,17,15,"334,04","42,8",
1812,CMA CGM DIGNITY,9897779,Container Ship (Fully Cellular),9HA5502,229463000,MT,MTMLA,17,16,366,51,
1813,CMA CGM DON PASCUALE,9318101,Container Ship (Fully Cellular),9HA5468,229331000,MT,MTMLA,17,"14,5","334,07","42,8",
1814,CMA CGM EVERGLADE,9894985,Container Ship (Fully Cellular),FMPS,228410600,FR,FRMRS,17,16,366,51,
1815,CMA CGM FIDELIO,9299642,Container Ship (Fully Cellular),9HA5606,229808000,MT,MTMLA,17,"15,02",349,"42,8",
1816,CMA CGM FLORIDA,9348704,Container Ship (Fully Cellular),9HA5005,215189000,MT,MTMLA,17,"13,5","294,1","32,2",
1817,CMA CGM FORT ST GEORGES,9261918,Container Ship (Fully Cellular),PU6630,710005274,BR,BRMAO,17,"11,01","197,2","30,2",
1818,CMA CGM FORT ST LOUIS,9261889,Container Ship (Fully Cellular),5BLP5,209912000,CY,CYLMS,17,"11,01","197,2","30,2",
1819,CMA CGM FORT ST PIERRE,9261891,Container Ship (Fully Cellular),9HA5071,215342000,MT,MTMLA,17,"11,01","197,2","30,2",
1820,CMA CGM FORT STE MARIE,9261906,Container Ship (Fully Cellular),9HA5091,215396000,MT,MTMLA,17,"11,01","197,2","30,2",
1821,CMA CGM GALAPAGOS,9894997,Container Ship (Fully Cellular),FMPT,228410700,FR,FRMRS,17,16,366,51,
1822,CMA CGM GEMINI,9410791,Container Ship (Fully Cellular),9HA4974,215134000,MT,MTMLA,17,"15,5",363,"45,6",
1823,CMA CGM GEORGIA,9351127,Container Ship (Fully Cellular),9HA5027,215240000,MT,MTMLA,17,"13,5","294,1","32,2",
1824,CMA CGM GREENLAND,9895006,Container Ship (Fully Cellular),FMPU,228410800,FR,FRMRS,17,16,366,51,
1825,CMA CGM HERODOTE,9360142,Container Ship (Fully Cellular),KGMQ,338459000,US,"",17,"9,36",170,"27,2",
1826,CMA CGM HOMERE,9362322,Container Ship (Fully Cellular),YDDM2,525119170,ID,IDJKT,17,"9,36",170,"27,2",
1827,CMA CGM HOPE,9897755,Container Ship (Fully Cellular),9HA5466,229326000,MT,MTMLA,17,16,366,51,
1828,CMA CGM HYDRA,9356309,Container Ship (Fully Cellular),C6EK6,311000921,BS,BSNAS,17,"15,5","347,17","45,2",
1829,CMA CGM IGUACU,9859131,Container Ship (Fully Cellular),9HA5398,215966000,MT,MTMLA,17,16,366,51,
1830,CMA CGM INTEGRITY,9897781,Container Ship (Fully Cellular),9HA5503,229464000,MT,MTMLA,17,16,"365,97",51,
1831,CMA CGM ISKENDERUN,9321902,Container Ship (Fully Cellular),9HA5480,229391000,MT,MTMLA,17,"12,3","246,83","32,2",
1832,CMA CGM IVANHOE,9365805,Container Ship (Fully Cellular),DFPJ2,218844000,DE,DEHAM,17,15,"349,99","42,8",
1833,CMA CGM JACQUES JOSEPH,9729104,Container Ship (Fully Cellular),9HA4667,248473000,MT,MTMLA,17,"14,5","299,91","48,2",
1834,CMA CGM JAMAICA,9326770,Container Ship (Fully Cellular),9HA5225,215650000,MT,MTMLA,17,"12,75","264,01","32,2",
1835,CMA CGM JULES VERNE,9454450,Container Ship (Fully Cellular),9HA5460,229190000,MT,MTMLA,17,16,396,"53,6",
1836,CMA CGM KIMBERLEY,9894973,Container Ship (Fully Cellular),FMPR,228409900,FR,FRMRS,17,16,366,51,
1837,CMA CGM LA TRAVIATA,9299795,Container Ship (Fully Cellular),FMFT,228340900,FR,FRMRS,17,"14,5",334,"42,8",
1838,CMA CGM LAMARTINE,9409194,Container Ship (Fully Cellular),9HA5001,215185000,MT,MTMLA,17,"14,5","299,2",40,
1839,CMA CGM LEO,9399208,Container Ship (Fully Cellular),9HA2057,249888000,MT,MTMLA,17,"15,5","363,61","45,6",
1840,CMA CGM LIBRA,9399193,Container Ship (Fully Cellular),9HA2021,249819000,MT,MTMLA,17,"15,5","363,61","45,6",
1841,CMA CGM LISA MARIE,9729099,Container Ship (Fully Cellular),9HA4652,248426000,MT,MTMLA,17,"14,5","299,81","48,2",
1842,CMA CGM LITANI,9705055,Container Ship (Fully Cellular),9HA3793,256033000,MT,MTMLA,17,"14,8","299,95","48,2",
1843,CMA CGM LYRA,9410806,Container Ship (Fully Cellular),9HA4972,215131000,MT,MTMLA,17,"15,5",363,"45,6",
1844,CMA CGM MALTA,9301433,Container Ship (Fully Cellular),9HA5471,229340000,MT,MTMLA,17,"11,5","210,06","30,2",
1845,CMA CGM MANAUS,9434917,Container Ship (Fully Cellular),9HA5774,256272000,MT,MTMLA,17,"11,5","210,09","30,2",
1846,CMA CGM MARCO POLO,9454436,Container Ship (Fully Cellular),C6EK8,311000923,BS,BSNAS,17,16,396,"53,6",
1847,CMA CGM MEDEA,9299800,Container Ship (Fully Cellular),FMFR,228342900,FR,FRMRS,17,"15,02",349,"42,8",
1848,CMA CGM MOLIERE,9401099,Container Ship (Fully Cellular),9HA2072,249917000,MT,MTMLA,17,15,"299,97",40,
1849,CMA CGM MUSCA,9356311,Container Ship (Fully Cellular),C6EK7,311000922,BS,BSNAS,17,"15,52","347,48","45,2",
1850,CMA CGM MUSSET,9406611,Container Ship (Fully Cellular),9HA2284,248247000,MT,MTMLA,17,"14,5","299,93",40,
1851,CMA CGM NABUCCO,9299630,Container Ship (Fully Cellular),5BLX5,209920000,CY,CYLMS,17,"14,5",334,"42,8",
1852,CMA CGM NAVEGANTES,9303780,Container Ship (Fully Cellular),9HA5712,256144000,MT,MTMLA,17,12,"222,2",30,
1853,CMA CGM NEVA,9745548,Container Ship (Fully Cellular),9HA4749,248660000,MT,MTMLA,17,"11,5","194,99","32,2",
1854,CMA CGM NORMA,9299812,Container Ship (Fully Cellular),9HA5346,215879000,MT,MTMLA,17,"15,02",349,"42,8",
1855,CMA CGM ORFEO,9364992,Container Ship (Fully Cellular),DFPG2,218845000,DE,DEHAM,17,15,"349,98","42,8",
1856,CMA CGM OTELLO,9299628,Container Ship (Fully Cellular),FMEJ,228353600,FR,FRMRS,17,"14,5",334,"42,8",
1857,CMA CGM PATAGONIA,9894961,Container Ship (Fully Cellular),FMPQ,228409800,FR,FRMRS,17,16,366,51,
1858,CMA CGM PEGASUS,9399210,Container Ship (Fully Cellular),9HA2126,248013000,MT,MTMLA,17,"15,5",363,"45,6",
1859,CMA CGM PELLEAS,9365788,Container Ship (Fully Cellular),DFPH2,218846000,DE,DEHAM,17,15,"349,99","42,8",
1860,CMA CGM PERTH,9477787,Container Ship (Fully Cellular),9HA5584,229753000,MT,MTMLA,17,"12,6","261,06","32,25",
1861,CMA CGM PLATON,9362437,Container Ship (Fully Cellular),9HA4985,215157000,MT,MTMLA,17,"9,36",170,"27,2",
1862,CMA CGM PRIDE,9924429,Container Ship (Fully Cellular),9HA5650,229997000,MT,MTMLA,17,16,366,51,
1863,CMA CGM PUGET,9248124,Container Ship (Fully Cellular),CQIZ8,255806114,PT,PTFNC,17,"13,02","282,1","32,2",
1864,CMA CGM RABELAIS,9406635,Container Ship (Fully Cellular),9HA2360,248430000,MT,MTMLA,17,"14,5","299,93",40,
1865,CMA CGM RACINE,9406647,Container Ship (Fully Cellular),9HA2362,248431000,MT,MTMLA,17,"14,5","299,97",40,
1866,CMA CGM RHONE,9674543,Container Ship (Fully Cellular),9HA3778,229989000,MT,MTMLA,17,"14,8","299,95","48,2",
1867,CMA CGM RIGOLETTO,9299654,Container Ship (Fully Cellular),FMHR,228354600,FR,FRMRS,17,"15,02",349,"42,8",
1868,CMA CGM RIO GRANDE,9722699,Container Ship (Fully Cellular),9HA4134,249169000,MT,MTMLA,17,"14,5","299,9","48,2",
1869,CMA CGM SAMSON,9436379,Container Ship (Fully Cellular),9HA2907,256687000,MT,MTMLA,17,"14,65","334,91","42,8",
1870,CMA CGM SAN FRANCISCO,9225615,Container Ship (Fully Cellular),D5TZ4,636092910,LR,LRMLW,17,"14,5","299,99",40,
1871,CMA CGM SCANDOLA,9859129,Container Ship (Fully Cellular),9HA5325,215839000,MT,MTMLA,17,16,366,51,
1872,CMA CGM SYDNEY,9315953,Container Ship (Fully Cellular),9HA5567,229699000,MT,MTMLA,17,"16,5","264,21","32,2",
1873,CMA CGM TANGER,9259836,Container Ship (Fully Cellular),CNA5338,242754300,MA,MATNG,17,"8,51","147,8","23,25",
1874,CMA CGM TARRAGONA,9471214,Container Ship (Fully Cellular),9HA5743,256208000,MT,MTMLA,17,"12,6","261,06","32,25",
1875,CMA CGM TENERE,9859117,Container Ship (Fully Cellular),9HA5273,215765000,MT,MTMLA,17,16,"365,99",51,
1876,CMA CGM TITAN,9399222,Container Ship (Fully Cellular),9HA2146,248052000,MT,MTMLA,17,"15,5",363,"45,6",
1877,CMA CGM TITUS,9450636,Container Ship (Fully Cellular),FLVP,228368900,FR,FRMRS,17,15,334,"42,8",
1878,CMA CGM TOSCA,9299783,Container Ship (Fully Cellular),FMEL,228335900,FR,FRMRS,17,"14,52","334,07","42,8",
1879,CMA CGM TUTICORIN,9630420,Container Ship (Fully Cellular),VRNY5,477790500,HK,HKHKG,17,"15,22",337,"48,2",
1880,CMA CGM UNITY,9897767,Container Ship (Fully Cellular),9HA5479,229389000,MT,MTMLA,17,16,366,51,
1881,CMA CGM URAL,9705079,Container Ship (Fully Cellular),9HA3845,256163000,MT,MTMLA,17,"14,8","299,95","48,2",
1882,CMA CGM VELA,9354923,Container Ship (Fully Cellular),9HA5500,229457000,MT,MTMLA,17,"15,53","347,48","45,2",
1883,CMA CGM VERDI,9331165,Container Ship (Fully Cellular),9HA5692,256095000,MT,MTMLA,17,"14,02","276,2",40,
1884,CMA CGM VITORIA,9434905,Container Ship (Fully Cellular),9HA5724,256171000,MT,MTMLA,17,"11,5","210,1","30,2",
1885,CMA CGM VOLTAIRE,9635652,Container Ship (Fully Cellular),9HA5622,229877000,MT,MTMLA,17,"14,52","270,07","42,8",
1886,CNP PAITA,9144160,"",OA2074,760001110,PE,PECLL,17,"9,88","183,99","25,3",
1887,CNTIC VPOWER GLOBAL,9696735,LNG Tanker,VRTC9,477468400,HK,HKHKG,14,8,"176,8","27,6",
1888,COAL PEARL,9611931,Bulk Carrier,VRMS7,477050800,HK,HKHKG,12,"14,52",229,"32,26",
1889,COCO'S,,"",HZX9,,ES,"",22,"","8,21","3,35",
1890,COCOA BEAN,9638757,Yacht,ZGCN,319596000,KY,"",23,"3,86","73,82","11,99",
1891,COE ANNA,9366160,General Cargo Ship,DJFS2,218615000,DE,DEHAM,13,8,"107,08","18,2",
1892,COE LAURA,9343821,Bulk Carrier,V2GO7,304031000,AG,AGSJO,12,"8,79","115,33","19,6",
1893,COFCO 1,9611709,Bulk Carrier,VRMZ3,477293500,HK,HKHKG,12,"14,45",229,"32,26",
1894,COLOMBO EXPRESS,9295244,Container Ship (Fully Cellular),DIHC,211433000,DE,DEHAM,17,"14,61","335,47","42,8",
1895,COLORADO EXPRESS,9349502,Container Ship (Fully Cellular),WDM2200,369215000,US,USORF,17,"14,5","306,1",40,
1896,COLORADO STAR,9527609,Chemical/Products Tanker,9HA2189,248127000,MT,MTMLA,11,"8,71","128,6","20,4",
1897,COLUMBIA,9423530,Bulk Carrier,A8KP7,636091202,LR,LRMLW,12,"12,83","189,99","32,26",
1898,COLUMBIA HIGHWAY,9442873,Vehicles Carrier,3EQO8,371172000,PA,PAPTY,20,"10,02","199,97","32,26",2
1899,COMANCHE,8955720,General Cargo Ship,5LIY3,636022468,LR,LRMLW,13,"3,62","139,1","16,5",
1900,COMET ACE,9182356,Vehicles Carrier,H3AM,351757000,PA,PAPTY,21,"8,52","174,98","29,2",3
1901,COMMANDANT BIROT,,"",1042,,FR,"",18,"5,6","80,5","10,3",
1902,COMMANDANT BOUAN,,"",GTJ4,,FR,"",18,"5,6","80,5","10,3",
1903,COMMANDANT DUCUING,,"",5186,,FR,"",18,"5,3","80,5","10,3",
1904,COMMANDER,8906494,General Cargo Ship,YJTZ7,577294000,VU,VUVLI,13,"6,53","92,8",17,
1905,COMMODORE ONE,9260017,Chemical/Products Tanker,MAQB6,525121011,ID,IDBLW,11,"11,22","182,55","27,34",
1906,COMMON FAITH,9610092,Bulk Carrier,SVBM6,241166000,GR,GRPIR,12,"12,9","189,99","32,26",
1907,COMMON VENTURE,9610080,Bulk Carrier,SVBL4,241155000,GR,GRPIR,12,"12,9","189,99","32,26",
1908,COMO,9739331,Yacht,2HL08,235104651,IM,IMDGS,23,"2,89","49,8","8,5",
1909,COMPACT,9216365,"",V4EH4,341978000,KN,KNBAS,17,"9,21","158,7","25,6",
1910,COMPASS ROSE,,"",WDF8947,367500250,US,"",23,"3,81","49,23","10,97",
1911,CONCORD SERENITY,9277785,Products Tanker,3E3402,352001123,PA,PAPTY,11,"14,44","228,19","32,2",
1912,CONDOR TRADER,9742077,Chemical/Products Tanker,DUIL,548944000,PH,PHMNL,11,"10,14","149,9","24,6",
1913,CONESTE,9252802,Container Ship (Fully Cellular),CQOE,255801940,PT,PTFNC,17,"8,71","134,44","22,5",
1914,CONFIDENCE OCEAN,9145994,"",3FQL6,351689000,PA,PAPTY,12,"11,74","189,33","30,99",
1915,CONQUEST MB 1,,"",PCPS,244810178,NL,NLAMS,22,8,136,36,
1916,CONSOLAT DE MAR,,"",EA6465,224102420,ES,"",98,"2,5",24,6,
1917,CONSTANCE,1008619,Yacht,V7UA9,538071166,MH,MHUIT,23,"3,2","60,42","11,2",
1918,CONSTANCE,9391531,Chemical/Products Tanker,V7YG7,538007634,MH,MHMAJ,11,"13,08","183,16","32,2",
1919,CONSTANCE,9505338,General Cargo Ship,ZDKL7,236622000,GI,GIGIB,13,"5,3",86,"12,4",
1920,CONSTANTIA,9492347,Bulk Carrier,MHCO3,232027093,IM,IMDGS,12,"18,32",292,45,
1921,CONSTANTIA,9495765,Container Ship (Fully Cellular),D5KV6,636092697,LR,LRMLW,17,"12,5","259,94","37,3",
1922,CONSTITUIAO,,"",PWCO,710465000,BR,"",18,"6,27","129,55","13,59",
1923,CONSTRUCTOR ZHIVOTOVSKY,9640580,Chemical/Products Tanker,UDTG,273351180,RU,"",11,"4,2","140,85","16,7",
1924,CONTI ANNAPURNA,9286255,Container Ship (Fully Cellular),D5SI3,636092883,LR,LRMLW,17,"14,5","334,07","42,8",
1925,CONTI BASEL,9248136,"",CQGY,255805674,PT,PTFNC,17,"14,02","278,89","40,3",
1926,CONTI BENGUELA,9391373,Chemical/Products Tanker,A8PL7,636091569,LR,LRMLW,11,"11,32","184,32","27,4",
1927,CONTI CORDOBA,9349801,Container Ship (Fully Cellular),A8OF8,636091473,LR,LRMLW,17,"13,5","274,98","32,2",
1928,CONTI CORTESIA,9293753,Container Ship (Fully Cellular),9HA5641,229945000,MT,MTMLA,17,"14,5",334,"42,8",
1929,CONTI COURAGE,9293789,Container Ship (Fully Cellular),5LCJ9,636093042,LR,LRMLW,17,"14,5","333,99","42,8",
1930,CONTI CRYSTAL,9293820,Container Ship (Fully Cellular),5LFC6,636093094,LR,LRMLW,17,"14,5","333,99","42,8",
1931,CONTI GREENLAND,9391397,Chemical/Products Tanker,A8QM9,636091621,LR,LRMLW,11,"11,32","184,32","27,3",
1932,CONTRAMAESTRE CASADO,,"",A648,,ES,"",18,"6,1",104,"14,5",
1933,CONTSHIP ACE,9348637,Container Ship (Fully Cellular),D5VB6,636019562,LR,LRMLW,17,"9,5","159,8","24,81",
1934,CONTSHIP ANA,9308596,Container Ship (Fully Cellular),D5JW9,636020814,LR,LRMLW,17,"8,8","139,1","22,6",
1935,CONTSHIP BEE,9364344,Container Ship (Fully Cellular),A8JG6,636017700,LR,LRMLW,17,"8,5","147,87","23,25",
1936,CONTSHIP CUB,9683477,Container Ship (Fully Cellular),D5RA8,636018712,LR,LRMLW,17,"8,05","158,39","23,99",
1937,CONTSHIP ECO,9492751,Container Ship (Fully Cellular),D5OL9,636018167,LR,LRMLW,17,"7,4","124,5","20,8",
