Terminal ABR;Terminal;Data (any);Data (mes);Data (dia del mes);Data;Rang Data;Temps Accés Reserva;Temps Accés
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;07:20 - 07:40;;5,441675
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;07:40 - 08:00;;9,60666
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;08:00 - 08:20;;7,4333375
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;08:20 - 08:40;;9,319042857
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;08:40 - 09:00;;8,7514
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;09:00 - 09:20;;9,790352632
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;09:20 - 09:40;;11,3064
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;09:40 - 10:00;;5,981407692
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;10:00 - 10:20;;8,042989474
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;10:20 - 10:40;;8,553564286
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;10:40 - 11:00;;12,528475
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;11:00 - 11:20;;12,49782609
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;11:20 - 11:40;;17,58975385
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;11:40 - 12:00;;12,070004
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;12:00 - 12:20;;15,18076154
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;12:20 - 12:40;;16,18551304
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;12:40 - 13:00;;18,56824286
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;13:00 - 13:20;;18,63235294
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;13:20 - 13:40;;18,65369444
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;13:40 - 14:00;;23,95553333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;14:00 - 14:20;;30,80686471
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;14:19-14:39;;34,24895
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;14:39-14:59;;30,4729125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;15:00 - 15:20;;23,26373529
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;15:19-15:39;;18,50355714
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;15:40 - 16:00;;19,59562105
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;16:00 - 16:20;;8,2712
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;16:20 - 16:40;;8,96166
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;16:40 - 17:00;;3,877075
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;17:00 - 17:20;;10,17915
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;17:20 - 17:40;;5,34334
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;17:40 - 18:00;;10,36668
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;18:00 - 18:20;;6,2125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;18:20 - 18:40;;4,1833
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;18:40 - 19:00;;14,75
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;19:00 - 19:20;;3,5333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;5;2017/01/05;19:20 - 19:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;6;2017/01/06;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;6;2017/01/06;06:00 - 06:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;6;2017/01/06;06:20 - 06:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;6;2017/01/06;06:40 - 07:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;6;2017/01/06;07:00 - 07:20;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;6;2017/01/06;07:20 - 07:40;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;6;2017/01/06;07:40 - 08:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;06:00 - 06:20;;5,7854125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;06:20 - 06:40;;3,913883333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;06:40 - 07:00;;3,64666
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;07:00 - 07:20;;4,016633333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;07:20 - 07:40;;4,678571429
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;07:40 - 08:00;;6,29165
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;08:00 - 08:20;;6,5881
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;08:20 - 08:40;;11,7771
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;08:40 - 09:00;;7,0278
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;09:00 - 09:20;;7,539390909
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;09:20 - 09:40;;6,893522222
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;09:40 - 10:00;;6,819718182
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;12:00 - 12:20;;8,448481818
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;12:20 - 12:40;;7,758
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;12:40 - 13:00;;7,609081818
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;13:00 - 13:20;;5,927771429
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;13:20 - 13:40;;8,76515
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;13:40 - 14:00;;6,918335
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;14:00 - 14:20;;8,023608333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;14:20 - 14:40;;6,791030769
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;14:40 - 15:00;;8,097216667
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;15:00 - 15:20;;8,841023077
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;15:20 - 15:40;;9,649121053
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;15:40 - 16:00;;9,602636842
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;16:00 - 16:20;;12,0361125
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;16:20 - 16:40;;5,661758824
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;16:40 - 17:00;;6,687184615
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;17:00 - 17:20;;9,577075
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;17:20 - 17:40;;10,65769231
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;17:40 - 18:00;;7,712955556
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;18:00 - 18:20;;7,329175
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;18:20 - 18:40;;7,02334
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;18:40 - 19:00;;6,3625
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;19:00 - 19:20;;4,405533333
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;9;2017/01/09;19:20 - 19:40;;2,3833
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;05:40 - 06:00;;
APMT;APM TERMINALS BARCELONA, S.L.U;2017;1;10;2017/01/10;06:00 - 06:20;;7,974066667
